ano_eleicao;sigla_uf;nome_municipio;descricao_cargo;num_turno;numero_zona;sigla_partido;nome_candidato;nome_urna_candidato;numero_cand;desc_sit_cand_superior;desc_sit_candidato;desc_sit_cand_tot;total_votos
2004;SP;ORIENTE;PREFEITO;1;180;PL;ANTONIO APARECIDO MORIS;TONINHO MORIS;22;;DEFERIDO;ELEITO;2010
2004;SP;ORIENTE;PREFEITO;1;180;PFL;PAULO CÉZAR FERREIRA HILÁRIO;PAULINHO;25;;DEFERIDO;NÃO ELEITO;1941
2004;SP;ORIENTE;PREFEITO;1;180;PDT;MARIA JOSE REIS ZIHLMANN;ZEZE REIS;12;;DEFERIDO;NÃO ELEITO;132
2004;SP;ORIENTE;PREFEITO;1;180;PT;WASHINGTON GERALDO FERREIRA DA SILVA;WASHINGTON;13;;DEFERIDO;NÃO ELEITO;79
2004;SP;ORIENTE;PREFEITO;1;180;PRP;JOSÉ ANDRÉ MÓRIS;BOLACHA;44;;DEFERIDO;NÃO ELEITO;34
2004;SP;ORINDIUVA;PREFEITO;1;164;PMDB;DARLEI QUEIROZ DE OLIVEIRA;DARLEI;15;;DEFERIDO;ELEITO;1681
2004;SP;ORINDIUVA;PREFEITO;1;164;PT;PEDRO NUNES DA SILVA;PEDRO NUNES;13;;DEFERIDO;NÃO ELEITO;1368
2004;SP;ORLANDIA;PREFEITO;1;81;PSDB;OSWALDO RIBEIRO JUNQUEIRA NETO;VADO;45;;DEFERIDO;ELEITO;13861
2004;SP;ORLANDIA;PREFEITO;1;81;PSB;PEDRO BORDIN NETTO;PEDRO BORDIN;40;;DEFERIDO;NÃO ELEITO;7657
2004;SP;OSASCO;PREFEITO;1;331;PT;EMIDIO PEREIRA DE SOUZA;EMIDIO;13;;DEFERIDO;2º TURNO;36618
2004;SP;OSASCO;PREFEITO;1;315;PT;EMIDIO PEREIRA DE SOUZA;EMIDIO;13;;DEFERIDO;2º TURNO;36382
2004;SP;OSASCO;PREFEITO;1;277;PT;EMIDIO PEREIRA DE SOUZA;EMIDIO;13;;DEFERIDO;2º TURNO;32491
2004;SP;OSASCO;PREFEITO;1;315;PSDB;CELSO ANTONIO GIGLIO;CELSO GIGLIO;45;;DEFERIDO;2º TURNO;30842
2004;SP;OSASCO;PREFEITO;1;331;PSDB;CELSO ANTONIO GIGLIO;CELSO GIGLIO;45;;DEFERIDO;2º TURNO;29768
2004;SP;OSASCO;PREFEITO;1;276;PSDB;CELSO ANTONIO GIGLIO;CELSO GIGLIO;45;;DEFERIDO;2º TURNO;29697
2004;SP;OSASCO;PREFEITO;1;332;PSDB;CELSO ANTONIO GIGLIO;CELSO GIGLIO;45;;DEFERIDO;2º TURNO;25473
2004;SP;OSASCO;PREFEITO;1;277;PSDB;CELSO ANTONIO GIGLIO;CELSO GIGLIO;45;;DEFERIDO;2º TURNO;25469
2004;SP;OSASCO;PREFEITO;1;276;PT;EMIDIO PEREIRA DE SOUZA;EMIDIO;13;;DEFERIDO;2º TURNO;25357
2004;SP;OSASCO;PREFEITO;1;332;PT;EMIDIO PEREIRA DE SOUZA;EMIDIO;13;;DEFERIDO;2º TURNO;21803
2004;SP;OSASCO;PREFEITO;1;285;PT;EMIDIO PEREIRA DE SOUZA;EMIDIO;13;;DEFERIDO;2º TURNO;17448
2004;SP;OSASCO;PREFEITO;1;285;PSDB;CELSO ANTONIO GIGLIO;CELSO GIGLIO;45;;DEFERIDO;2º TURNO;16759
2004;SP;OSASCO;PREFEITO;1;213;PSDB;CELSO ANTONIO GIGLIO;CELSO GIGLIO;45;;DEFERIDO;2º TURNO;9838
2004;SP;OSASCO;PREFEITO;1;213;PT;EMIDIO PEREIRA DE SOUZA;EMIDIO;13;;DEFERIDO;2º TURNO;9107
2004;SP;OSASCO;PREFEITO;1;331;PHS;ANA PAULA ROSSI DE ALMEIDA MAGDESIAN;ANA PAULA ROSSI;31;;DEFERIDO;NÃO ELEITO;7359
2004;SP;OSASCO;PREFEITO;1;315;PHS;ANA PAULA ROSSI DE ALMEIDA MAGDESIAN;ANA PAULA ROSSI;31;;DEFERIDO;NÃO ELEITO;4371
2004;SP;OSASCO;PREFEITO;1;276;PHS;ANA PAULA ROSSI DE ALMEIDA MAGDESIAN;ANA PAULA ROSSI;31;;DEFERIDO;NÃO ELEITO;3947
2004;SP;OSASCO;PREFEITO;1;277;PHS;ANA PAULA ROSSI DE ALMEIDA MAGDESIAN;ANA PAULA ROSSI;31;;DEFERIDO;NÃO ELEITO;3649
2004;SP;OSASCO;PREFEITO;1;332;PHS;ANA PAULA ROSSI DE ALMEIDA MAGDESIAN;ANA PAULA ROSSI;31;;DEFERIDO;NÃO ELEITO;2419
2004;SP;OSASCO;PREFEITO;1;285;PHS;ANA PAULA ROSSI DE ALMEIDA MAGDESIAN;ANA PAULA ROSSI;31;;DEFERIDO;NÃO ELEITO;2275
2004;SP;OSASCO;PREFEITO;1;331;PV;ARNALDO CAMILO DOS SANTOS;CAMILO;43;;DEFERIDO;NÃO ELEITO;1533
2004;SP;OSASCO;PREFEITO;1;276;PV;ARNALDO CAMILO DOS SANTOS;CAMILO;43;;DEFERIDO;NÃO ELEITO;1333
2004;SP;OSASCO;PREFEITO;1;276;PMDB;HAROLDO DE NAZARÉ MIRANDA DOS SANTOS;DOUTOR HAROLDO;15;;DEFERIDO;NÃO ELEITO;1258
2004;SP;OSASCO;PREFEITO;1;213;PHS;ANA PAULA ROSSI DE ALMEIDA MAGDESIAN;ANA PAULA ROSSI;31;;DEFERIDO;NÃO ELEITO;1200
2004;SP;OSASCO;PREFEITO;1;277;PV;ARNALDO CAMILO DOS SANTOS;CAMILO;43;;DEFERIDO;NÃO ELEITO;1123
